Priority,Business Name,Type,City,Phone / WhatsApp,Email,Instagram,Website?,Outreach Angle,Source
🔥 HOT,Riad Puchka,Riad,Marrakech,+212 682 875 839,riad.puchka@gmail.com,@riadpuchka,None found,Instagram-only riad. Offer Starter ($799) — show RiadConnect as proof.,Instagram
🔥 HOT,Riad Imndi,Riad,Marrakech,,,@riadimndi,None found,Instagram-only. DM with RiadConnect demo — direct match.,Instagram
🔥 HOT,Riad Sakura Chefchaouen,Riad,Chefchaouen,,,@riad_sakura_chefchaouen,None found,Instagram-only Chefchaouen riad. Offer Starter package.,Instagram
🔥 HOT,Nelia Marrakech,Riad,Marrakech,,,@nelia.marrakech,None found,"4 riads + spa + rooftop — serious business, Instagram-only (11K followers).",Instagram
🔥 HOT,Mohamed Daif,Tour Guide,Marrakech,+212 661 370 749,daif996@gmail.com,,None found,WhatsApp + Gmail only. Offer landing page to capture bookings directly.,Travel blog
🔥 HOT,Ismail Artisanat Marocain,Boutique,Marrakech,+212 681 910 784,carverne.artisanat@gmail.com,@ismail_artisanat_marocain,None found,13K Instagram followers. Show TyyMaroc as proof.,Instagram
🔥 HOT,Ma Déco d'Ailleurs,Boutique,Marrakech,,,@madeco.dailleurs,None found,65K followers! No website is a huge missed opportunity.,Instagram
🔥 HOT,Boutique Artisanat Marrakech,Boutique,Marrakech,,,@boutique_artisanat_marrakech,None found,Instagram-only artisan shop. Pitch e-commerce Starter package.,Instagram
🔥 HOT,Hamsa Chaouen,Restaurant,Chefchaouen,,,@hamsachaouen,None found,Tea salon/restaurant Instagram-only. Pitch menu site + reservation form.,Instagram
⭐ WARM,Riad Tizwa,Riad,Marrakech / Fes,,Riadtizwa@gmail.com,@riadtizwa,None found,Has Gmail — email directly. Two locations = needs a proper site.,Search results
⭐ WARM,Riad Marrakech Doors,Riad,Marrakech,+212 524 378 637,gm.riadmarrakechdoors@outlook.com,@riad_marrakechdoors,None found,Has email + phone. Pitch Pro package — multi-room riad.,Search results
⭐ WARM,Riad Dar Saad,Riad,Marrakech,+212 524 378 562,darsaadriad@gmail.com,,Basic site,Basic site. Offer upgrade to Pro with booking dashboard.,Search results
⭐ WARM,Hamid Idbelaid,Tour Guide,Marrakech,,,, None found,31 reviews on TourHQ — no own website. Offer personal landing page.,TourHQ
⭐ WARM,Hassan Fadil,Tour Guide,Marrakech,,,,None found,29 reviews. Pitch personal portfolio site to escape TourHQ commission.,TourHQ
⭐ WARM,Abdelaziz (Aziz),Tour Guide,Morocco,,,,None found,27 reviews. Nationwide guide — personal site = brand credibility.,TourHQ
